"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"1102","CHEMBL210297","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1","'='","83368118.46","CHEMBL3045038",0.08336811846,1.07900000001023,"inactive"
"2101","CHEMBL2296935","CC(=O)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","71449632.61","CHEMBL3045038",0.07144963261,1.14599999998512,"inactive"
"3101","CHEMBL376688","CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","66680676.92","CHEMBL3045038",0.06668067692,1.17600000000887,"inactive"
"4101","CHEMBL374567","CC(=O)N(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","62517269.28","CHEMBL3045038",0.06251726928,1.20399999998311,"inactive"
"5101","CHEMBL411712","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCCCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1","'='","55590425.73","CHEMBL3045038",0.05559042573,1.25499999997688,"inactive"
"6101","CHEMBL211849","CC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","55590425.73","CHEMBL3045038",0.05559042573,1.25499999997688,"inactive"
"7100","CHEMBL214365","CCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","47643098.68","CHEMBL3045038",0.04764309868,1.32200000000494,"inactive"
"827","CHEMBL380002","CC(=O)N(c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1)C(C)C","'='","47643098.68","CHEMBL3045038",0.04764309868,1.32200000000494,"inactive"
"912","CHEMBL209681","N#Cc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1","'='","18197008.59","CHEMBL3045038",0.01819700859,1.73999999990692,"inactive"
"1012","CHEMBL373930","O=C(O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1","'='","17258378.92","CHEMBL3045038",0.01725837892,1.76299999999753,"inactive"
"1112","CHEMBL211213","CN(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","15885467.49","CHEMBL3045038",0.01588546749,1.79899999989004,"inactive"
"1212","CHEMBL378546","Cc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1","'='","10209394.84","CHEMBL3045038",0.01020939484,1.99099999987565,"inactive"
"1312","CHEMBL212583","Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1","'='","5888436.55","CHEMBL3045038",0.00588843655,2.23000000026226,"inactive"
"1412","CHEMBL2296656","Cc1ncc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c(-c2ccc(Cl)cc2)n1","'='","5321082.59","CHEMBL3045038",0.00532108259,2.27400000021775,"inactive"
"1512","CHEMBL377907","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3ccccc3-c3ccccc3)c(F)c1)n2C1CCCCC1","'='","2630267.99","CHEMBL3045038",0.00263026799,2.58000000031295,"inactive"
"1612","CHEMBL212226","COc1cc(OCc2ccccc2-c2ccccc2)ccc1-c1nc2cc(C(=O)O)ccc2n1C1CCCCC1","'='","909913.27","CHEMBL3045038",0.00090991327,3.04100000125635,"inactive"
"1712","CHEMBL174331","O=C(O)c1ccc2[nH]c(-c3ccccn3)nc2c1","'>'","500000.0","CHEMBL1149223",5e-04,3.30102999566398,"inactive"
"1812","CHEMBL369640","CC(C)n1c(-c2ccccn2)nc2cc(C(=O)O)ccc21","'='","408000.0","CHEMBL1149223",0.000408,3.38933983691012,"inactive"
"1912","CHEMBL175454","O=C(O)c1ccc2c(c1)nc(-c1ccccn1)n2-c1ccccc1","'='","360000.0","CHEMBL1149223",0.00036,3.44369749923271,"inactive"
"2011","CHEMBL2016760","C#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O","'='","232000.0","CHEMBL4823256",0.000232,3.6345120151091,"inactive"
"2111","CHEMBL177122","O=C(O)c1ccc2c(c1)ncn2C1CCCCC1","'='","186000.0","CHEMBL1149223",0.000186,3.73048705578208,"inactive"
"2211","CHEMBL197882","Cc1sc(-c2ccccc2)cc1/C(O)=C/C(=O)C(=O)O","'='","167000.0","CHEMBL1140440",0.000167,3.77728352885242,"inactive"
"2311","CHEMBL175762","CCC(CC)n1c(-c2ccccn2)nc2cc(C(=O)O)ccc21","'='","139000.0","CHEMBL1149223",0.000139,3.85698519974591,"inactive"
"2411","CHEMBL3233234","CN1c2c(C(=O)Nc3ccc(NS(C)(=O)=O)cc3)nn(-c3cccc(Cl)c3)c2-c2ccccc2S1(=O)=O","'='","127700.0","CHEMBL3232903",0.0001277,3.89380910273658,"inactive"
"2511","CHEMBL178067","Cc1cc(C)c(-c2nc3cc(C(=O)O)ccc3n2C2CCCCC2)c(C)c1","'='","120000.0","CHEMBL1149223",0.00012,3.92081875395238,"inactive"
"2611","CHEMBL364976","O=C(O)/C(=C/c1ccc(-c2cccc(CO)c2)o1)NC(=O)c1ccccc1","'>'","100000.0","CHEMBL1140265",1e-04,4,"inactive"
"2711","CHEMBL384169","O=C(O)/C=C/c1cc(-c2ccccn2)n(C2CCCCC2)n1","'>'","100000.0","CHEMBL1146881",1e-04,4,"inactive"
"2811","CHEMBL109258","CCN(CC)C(=O)c1cc(=O)c(O)c(C(=O)O)o1","'>'","100000.0","CHEMBL1146656",1e-04,4,"inactive"
"2911","CHEMBL215350","CC1(CCc2ccc(O)cc2)CC(=O)CC(=O)O1","'>'","100000.0","CHEMBL1149470",1e-04,4,"inactive"
"3011","CHEMBL183482","Fc1ccc(CCNc2ncnc3nc(-c4ccccc4)c(-c4ccccc4)nc23)cc1","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"3111","CHEMBL109516","O=C(O)c1cc(=O)c(O)c(C(=O)O)o1","'>'","100000.0","CHEMBL1146656",1e-04,4,"inactive"
"3211","CHEMBL361772","Oc1ncnc2nc3c4ccccc4c4ccccc4c3nc12","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"3311","CHEMBL372277","O=C(NCc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1","'>'","100000.0","CHEMBL1145278",1e-04,4,"inactive"
"3411","CHEMBL359952","CCCCCCNc1ncnc2nc(-c3ccccc3)c(-c3ccccc3)nc12","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"3511","CHEMBL179903","COc1cccc(-c2nc3ncnc(O)c3nc2-c2cccc(OC)c2)c1","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"3611","CHEMBL180443","Oc1ncnc2nc(-c3ccccn3)c(-c3ccccn3)nc12","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"3711","CHEMBL3121493","Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]23CCCO3)c(=O)n1","'>'","100000.0","CHEMBL3120143",1e-04,4,"inactive"
"3811","CHEMBL210597","O=C(O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)c(Cl)c(Cl)c1O","'>'","100000.0","CHEMBL1147722",1e-04,4,"inactive"
"3911","CHEMBL109969","O=C(O)c1oc(COCc2ccccc2)cc(=O)c1O","'>'","100000.0","CHEMBL1146656",1e-04,4,"inactive"
"4011","CHEMBL3121492","Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@]23CCO3)c(=O)n1","'>'","100000.0","CHEMBL3120143",1e-04,4,"inactive"
"4111","CHEMBL263310","COc1ccc(-c2nc3ncnc(O)c3nc2-c2ccc(OC)cc2)cc1","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"4211","CHEMBL4110895","Nc1ccn(C2OC(CO)[C@@H](O)[C@]23CCCO3)c(=O)n1","'>'","100000.0","CHEMBL3886868",1e-04,4,"inactive"
"4311","CHEMBL362597","c1ccc(-c2nc3ncnc(N4CCCCC4)c3nc2-c2ccccc2)cc1","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"4411","CHEMBL193520","O=C(O)/C(=C/c1ccc(-c2ccc(CO)cc2)o1)NC(=O)c1ccccc1","'>'","100000.0","CHEMBL1140265",1e-04,4,"inactive"
"4511","CHEMBL192108","NS(=O)(=O)c1ccc(-c2ccc(/C=C(\NC(=O)c3ccccc3)C(=O)O)o2)cc1","'>'","100000.0","CHEMBL1140265",1e-04,4,"inactive"
"4611","CHEMBL193333","O=C(Nc1ccccc1)/C(=C/c1ccc(Oc2ccccc2Br)cc1)NC(=O)c1ccccc1","'>'","100000.0","CHEMBL1145278",1e-04,4,"inactive"
"4711","CHEMBL363165","CC(C)(C)c1ccccc1Oc1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)O)cc1","'>'","100000.0","CHEMBL1140265",1e-04,4,"inactive"
"4811","CHEMBL217360","O=C(O)c1ccc2c(c1)S(=O)(=O)C(c1ccoc1)=C2C1CCCC1","'>'","100000.0","CHEMBL1146881",1e-04,4,"inactive"
"4911","CHEMBL369765","CCCCCCNc1ncnc2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc12","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"5011","CHEMBL360715","Oc1ncnc2nc3c(nc12)C1CCCCC31","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"5111","CHEMBL183225","Cc1ccc(CNc2ncnc3nc(-c4ccccc4)c(-c4ccccc4)nc23)cc1","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"5211","CHEMBL183058","Cc1ccc(-c2nc3ncnc(O)c3nc2-c2ccc(C)cc2)cc1","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"5311","CHEMBL183800","Oc1ncnc2nc(-c3ccccc3Cl)c(-c3ccccc3Cl)nc12","'>'","100000.0","CHEMBL1144286",1e-04,4,"inactive"
"5411","CHEMBL195565","O=C(O)/C(=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1)NC(=O)c1ccccc1","'>'","100000.0","CHEMBL1140265",1e-04,4,"inactive"
"5511","CHEMBL3291363","Nc1nc2c(ncn2[C@@H]2O[C@@]3(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CCO[C@@H]2[C@@H]3O)c(=O)[nH]1","'>'","100000.0","CHEMBL3286168",1e-04,4,"inactive"
"5611","CHEMBL109823","COC(=O)c1oc(C(=O)O)cc(=O)c1O","'>'","100000.0","CHEMBL1146656",1e-04,4,"inactive"
