"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"1102","CHEMBL2023144","O=C(Nc1ccncc1)c1cnccc1-c1ccc(F)cc1","'>'","4000000.0","CHEMBL3886847",0.004,2.39794000867204,"inactive"
"2101","CHEMBL2023145","O=C(Nc1ccncc1)c1cncc(-c2ccc(F)cc2)c1","'>'","400000.0","CHEMBL2021814",4e-04,3.39794000867204,"inactive"
"3101","CHEMBL1566648","O=C(Nc1ccncc1)c1cncc(Br)c1","'='","270000.0","CHEMBL3886847",0.00027,3.56863623584101,"inactive"
"4101","CHEMBL17551","Nc1ccc2[nH]ncc2c1","'='","181300.0","CHEMBL2021814",0.0001813,3.74160219590449,"inactive"
"5101","CHEMBL2023148","O=C(Nc1ccccc1)Nc1ccc2[nH]ncc2c1","'='","157100.0","CHEMBL2021814",0.0001571,3.80382381496003,"inactive"
"6101","CHEMBL601935","Cc1cnccc1-c1cnc(N)c(N2CCCN(C)CC2)n1","'='","120000.0","CHEMBL1157736",0.00012,3.92081875395238,"inactive"
"7101","CHEMBL1643576","CS(=O)(=O)N1CCC[C@H](Oc2ccc3c(N)nccc3c2)C1","'>'","100000.0","CHEMBL1641363",1e-04,4,"inactive"
"8101","CHEMBL1083140","Cc1c(-c2ccnc(N(C)C)n2)sc2ccc(Cl)cc12","'>'","100000.0","CHEMBL1155477",1e-04,4,"inactive"
"972","CHEMBL589656","Cc1cc(-c2cnc(N)c(N3CCCN(C)CC3)n2)ccn1","'>'","100000.0","CHEMBL1157736",1e-04,4,"inactive"
"1012","CHEMBL4634634","C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C","'>'","100000.0","CHEMBL4602617",1e-04,4,"inactive"
"1112","CHEMBL67352","O=C(Nc1ccncc1)c1cccnc1","'='","75500.0","CHEMBL3886847",7.55e-05,4.12205304837081,"inactive"
"1212","CHEMBL2022282","O=C(Nc1ccncc1)c1cnccc1Cl","'='","72500.0","CHEMBL2021814",7.25e-05,4.13966199342901,"inactive"
"1312","CHEMBL591754","CN1CCCN(c2nc(-c3ccncc3)cnc2N2CCOCC2)CC1","'='","68000.0","CHEMBL1157736",6.8e-05,4.16749108729376,"inactive"
"1412","CHEMBL503641","CC(=O)Nc1ccc2[nH]ncc2c1","'='","65000.0","CHEMBL2021814",6.5e-05,4.18708664335714,"inactive"
"1512","CHEMBL2023147","CN(C)C(=O)Nc1ccc2[nH]ncc2c1","'='","59100.0","CHEMBL2021814",5.91e-05,4.22841251911874,"inactive"
"1611","CHEMBL3218287","CC[C@H](NC(=O)Nc1nc(-c2ccncc2)cs1)c1ccccc1","'='","52170.0","CHEMBL3886451",5.217e-05,4.28257916327763,"inactive"
"1711","CHEMBL1095626","COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(N)cc4)nc32)CC1","'>'","50000.0","CHEMBL1157009",5e-05,4.30102999566398,"inactive"
"1811","CHEMBL3952135","O=C(Oc1ccc(-c2n[nH]c(=O)c3ccccc23)cc1)N1CCC(c2ccccc2)C1","'='","50000.0","CHEMBL3886438",5e-05,4.30102999566398,"inactive"
