"","Molecule.ChEMBL.ID","Smiles","Standard.Relation","Standard.Value","Document.ChEMBL.ID","Molar","pIC50","Bioactivity.Class"
"2102","CHEMBL210297","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(N4CCCC4=O)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1","'='","83368118.46","CHEMBL3045038",0.08336811846,1.07900000001023,"inactive"
"3101","CHEMBL2296935","CC(=O)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","71449632.61","CHEMBL3045038",0.07144963261,1.14599999998512,"inactive"
"4101","CHEMBL376688","CN(C)C(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","66680676.92","CHEMBL3045038",0.06668067692,1.17600000000887,"inactive"
"5101","CHEMBL374567","CC(=O)N(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","62517269.28","CHEMBL3045038",0.06251726928,1.20399999998311,"inactive"
"6101","CHEMBL411712","O=C(O)c1ccc2c(c1)nc(-c1ccc(OCc3cc(C(=O)N4CCCCC4)ccc3-c3ccc(Cl)cc3)cc1F)n2C1CCCCC1","'='","55590425.73","CHEMBL3045038",0.05559042573,1.25499999997688,"inactive"
"7101","CHEMBL211849","CC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","55590425.73","CHEMBL3045038",0.05559042573,1.25499999997688,"inactive"
"8101","CHEMBL214365","CCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1","'='","47643098.68","CHEMBL3045038",0.04764309868,1.32200000000494,"inactive"
"9101","CHEMBL380002","CC(=O)N(c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)c(F)c2)c1)C(C)C","'='","47643098.68","CHEMBL3045038",0.04764309868,1.32200000000494,"inactive"
"10100","CHEMBL328782","COc1ccc2c(O[C@@H]3C[C@@H](C(=O)NC(CC(F)F)C(=O)NCCc4c(F)cc(C(=O)O)cc4F)N(C(C)=O)C3)cc(-c3ccccc3)nc2c1","'='","38150000.0","CHEMBL1136161",0.03815,1.4185054577091,"inactive"
"11101","CHEMBL209681","N#Cc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1","'='","18197008.59","CHEMBL3045038",0.01819700859,1.73999999990692,"inactive"
"12101","CHEMBL373930","O=C(O)c1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1","'='","17258378.92","CHEMBL3045038",0.01725837892,1.76299999999753,"inactive"
"13101","CHEMBL211213","CN(C)c1ccc(-c2ccc(Cl)cc2)c(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c1","'='","15885467.49","CHEMBL3045038",0.01588546749,1.79899999989004,"inactive"
"1417","CHEMBL378546","Cc1ccc(-c2ccc(Cl)cc2COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)cc1","'='","10209394.84","CHEMBL3045038",0.01020939484,1.99099999987565,"inactive"
"1512","CHEMBL212583","Cc1nc(COc2ccc(-c3nc4cc(C(=O)O)ccc4n3C3CCCCC3)cc2)c(-c2ccc(Cl)cc2)s1","'='","5888436.55","CHEMBL3045038",0.00588843655,2.23000000026226,"inactive"
